
169,95.6529,	(-16.6467,168.178,1.66946)
169,96.1998,	(-18.2512,168.012,1.679)
168,96.6918,	(-19.5767,166.855,1.68759)
0,97.1072,	(-0,0,1.69484)
165,97.6362,	(-21.9257,163.537,1.70407)
164,98.1265,	(-23.1828,162.353,1.71263)
164,98.6555,	(-24.6808,162.132,1.72186)
164,99.1845,	(-26.1767,161.897,1.7311)
163,99.6743,	(-27.3917,160.682,1.73964)
165,100.299,	(-29.5,162.341,1.75055)
0,100.645,	(-0,0,1.75659)
160,101.19,	(-31.0501,156.958,1.7661)
159,101.694,	(-32.2255,155.7,1.77489)
159,102.238,	(-33.704,155.387,1.78439)
159,102.783,	(-35.1796,155.059,1.7939)
159,103.327,	(-36.6519,154.718,1.8034)
157,103.788,	(-37.4186,152.476,1.81145)
156,104.277,	(-38.4708,151.182,1.81997)
156,104.828,	(-39.9238,150.805,1.8296)
156,105.38,	(-41.373,150.414,1.83922)
155,105.888,	(-42.4317,149.079,1.84809)
155,106.439,	(-43.8642,148.664,1.85771)
153,106.902,	(-44.4834,146.391,1.8658)
153,107.454,	(-45.89,145.956,1.87542)
152,107.96,	(-46.8701,144.593,1.88426)
152,108.507,	(-48.248,144.139,1.89381)

144,128.147,	(-88.9458,113.246,2.23658)
144,128.692,	(-90.0183,112.395,2.24609)
144,129.236,	(-91.0826,111.535,2.2556)
144,129.783,	(-92.143,110.66,2.26514)
144,130.321,	(-93.1779,109.79,2.27453)
144,130.859,	(-94.2047,108.91,2.28392)
144,131.397,	(-95.223,108.021,2.29331)
144,131.935,	(-96.233,107.122,2.3027)
144,132.473,	(-97.2345,106.214,2.31209)
145,133.06,	(-99.0016,105.942,2.32234)
145,133.598,	(-99.9919,105.008,2.33173)
145,134.145,	(-100.99,104.049,2.34128)
145,134.672,	(-101.942,103.116,2.35047)
145,135.199,	(-102.886,102.174,2.35966)
145,135.726,	(-103.821,101.224,2.36886)
146,136.301,	(-105.556,100.866,2.37891)
146,136.828,	(-106.479,99.8913,2.3881)
146,137.355,	(-107.393,98.9081,2.3973)
147,137.93,	(-109.123,98.495,2.40734)
147,138.477,	(-110.058,97.449,2.41688)
147,139.024,	(-110.983,96.3941,2.42643)
147,139.571,	(-111.898,95.3304,2.43597)
148,140.166,	(-113.649,94.8045,2.44635)
148,140.712,	(-114.549,93.7154,2.4559)
148,141.259,	(-115.438,92.6178,2.46544)
149,141.853,	(-117.179,92.0336,2.47581)
149,142.4,	(-118.052,90.911,2.48535)
150,142.978,	(-119.761,90.318,2.49544)
150,143.538,	(-120.638,89.1426,2.50522)
151,144.145,	(-122.385,88.4468,2.5158)
151,144.705,	(-123.244,87.2459,2.52558)
151,145.265,	(-124.092,86.0366,2.53536)
152,145.871,	(-125.822,85.281,2.54593)
153,146.476,	(-127.549,84.4998,2.55649)
153,147.036,	(-128.369,83.2485,2.56627)
154,147.627,	(-130.066,82.4551,2.57658)
154,148.163,	(-130.831,81.2353,2.58594)
155,148.743,	(-132.501,80.427,2.59605)
156,149.322,	(-134.167,79.5943,2.60615)
156,149.857,	(-134.905,78.3364,2.6155)
157,150.436,	(-136.559,77.464,2.6256)
158,151.013,	(-138.208,76.5675,2.63568)
158,151.549,	(-138.918,75.2719,2.64503)
159,152.138,	(-140.568,74.3084,2.6553)
160,152.712,	(-142.194,73.3534,2.66533)
161,153.286,	(-143.816,72.3744,2.67535)
162,153.86,	(-145.431,71.3715,2.68536)
162,154.394,	(-146.089,70.0143,2.69468)
163,154.967,	(-147.688,68.9726,2.70468)
164,155.539,	(-149.28,67.907,2.71467)
165,156.112,	(-150.865,66.8177,2.72466)
166,156.697,	(-152.458,65.669,2.73488)
167,157.275,	(-154.036,64.5139,2.74496)
168,157.852,	(-155.604,63.3348,2.75505)
169,158.43,	(-157.164,62.1317,2.76512)
170,159.006,	(-158.715,60.9048,2.77519)
171,159.583,	(-160.257,59.654,2.78524)
173,160.194,	(-162.766,58.6185,2.79591)
174,160.769,	(-164.291,57.3111,2.80595)
