0,4.97696,	8481635927627
0,4.98677,	8481635953877
0,4.99641,	8481635980127
0,5.00603,	8481636020960
0,5.01562,	8481636049543
0,5.02519,	8481636076377
0,5.03364,	8481636102918
0,5.04315,	8481636128877
0,5.05264,	8481636154252
0,5.06199,	8481636179335
0,5.07038,	8481636205002
0,0,	8481636230085
0,5.07982,	8481636255752
0,0,	8481636281127
0,0,	8481636306793
0,0,	8481636331585
0,0,	8481636357252
0,0,	8481636382335
0,0,	8481636407710
0,5.17787,	8481636432502
0,5.18711,	8481636457877
0,5.19499,	8481636482668
0,5.20285,	8481636507752
0,5.21069,	8481636532835
0,5.2198,	8481636558210
0,5.22759,	8481636583585
0,5.23537,	8481636608668
0,5.24322,	8481636634335
0,5.25222,	8481636659710
0,5.25993,	8481636685085
0,5.26762,	8481636710752
0.195271,5.2753,	8481636735835
0.194837,5.28418,	8481636761210
0.195377,5.29181,	8481636786293
0.194937,5.30064,	8481636811960
0.1945,5.30953,	8481636837043
0.194048,5.31823,	8481636862127
0.194572,5.3257,	8481636886918
0.194114,5.33435,	8481636912002
0.193652,5.34297,	8481636936502
0.193187,5.35157,	8481636961877
0.193699,5.35894,	8481636986377
0.193227,5.36748,	8481637022543
0.193742,5.37496,	8481637047335
0.193272,5.38356,	8481637071543
0.193779,5.39097,	8481637095168
0.193301,5.39952,	8481637145918
0.19282,5.40804,	8481637172168
0.193317,5.41538,	8481637196668
0.192828,5.42384,	8481637221168
0.193318,5.43114,	8481637245668
0.192824,5.43958,	8481637269877
0.193311,5.4469,	8481637294085
0.192811,5.45531,	8481637317710
0.193292,5.46259,	8481637341918
0.193769,5.46986,	8481637367002
0.193258,5.47818,	8481637392668
0.193728,5.48541,	8481637417168
0.193208,5.49368,	8481637442543
0.19367,5.50085,	8481637467043
0.194122,5.50791,	8481637492418
0.193584,5.51598,	8481637516918
0.194029,5.52301,	8481637542002
0.194471,5.53003,	8481637567085
0.193921,5.53802,	8481637593043
0.194356,5.545,	8481637618127
0.194787,5.55197,	8481637643793
0.194231,5.55997,	8481637669168
0.194661,5.567,	8481637694543
0.195087,5.57401,	8481637740335
0.19551,5.58101,	8481637768043
0.194937,5.58891,	8481637794585
0.195353,5.59588,	8481637821710
0.195764,5.60284,	8481637847960
0.196173,5.60979,	8481637875085
0.195573,5.61739,	8481637901335
0.195969,5.62422,	8481637927585
0.196361,5.63105,	8481637953835
0.19675,5.63787,	8481637980085
0.197136,5.64467,	8481638020335
0.197518,5.65148,	8481638048627
0.197896,5.65827,	8481638074877
0.198271,5.66505,	8481638102002
0.198636,5.67172,	8481638128252
0.199003,5.67846,	8481638154210
0.198368,5.68591,	8481638179585
0.199725,5.69192,	8481638205252
0.199082,5.69933,	8481638230627
0.199434,5.70602,	8481638256293
0.199782,5.71271,	8481638281377
0.201126,5.71876,	8481638307043
0.200463,5.72599,	8481638332127
0.201802,5.73208,	8481638357793
0.202137,5.73879,	8481638383168
0.202469,5.74549,	8481638408543
0.202797,5.75218,	8481638433627
0.203121,5.75887,	8481638459002
0.203441,5.76555,	8481638484377
0.203758,5.77222,	8481638509752
0.204075,5.77897,	8481638535127
0.204383,5.78561,	8481638560502
0.204687,5.79223,	8481638585585
0.204988,5.79886,	8481638610960
0.205284,5.80548,	8481638636043
0.204574,5.81253,	8481638661418
0,5.81912,	8481638686502
0,0,	8481638711877
0,0,	8481638736960
0,0,	8481638762918
0,0,	8481638787710
0,0,	8481638813085
0,0,	8481638837877
0,0,	8481638863543
0,0,	8481638888918
0,0,	8481638914293
0,0,	8481638939085
0,0,	8481638964752
0,0,	8481638990127
0,0,	8481639028043
0,5.9092,	8481639053710
0,5.91601,	8481639079085
0,5.92298,	8481639103877
0,5.92976,	8481639129543
0,5.9365,	8481639154335
0,5.9432,	8481639179710
0,5.94991,	8481639204793
0.221163,5.95661,	8481639229877
0.222375,5.9632,	8481639255252
0.222576,5.96991,	8481639281210
0.22378,5.97654,	8481639306585
0.22498,5.98319,	8481639331960
0.225165,5.98978,	8481639356752
0.226354,5.9964,	8481639382710
0.22754,6.00306,	8481639407793
0.227715,6.00973,	8481639433168
0.228893,6.01642,	8481639458543
0.230066,6.02312,	8481639483918
0.231235,6.02984,	8481639508710
0.232399,6.03658,	8481639534377
0.233562,6.04346,	8481639559460
0.233714,6.05023,	8481639584835
0.234867,6.05708,	8481639609918
0.236015,6.06395,	8481639635293
0.237159,6.07084,	8481639660377
0.238299,6.07775,	8481639685752
0.239433,6.08467,	8481639734168
0.240564,6.09162,	8481639762168
0.242696,6.09878,	8481639789002
0.243819,6.10591,	8481639815543
0.244938,6.11306,	8481639841502
0.246052,6.12023,	8481639867752
0.247161,6.12743,	8481639893418
0.249269,6.13482,	8481639918502
0.250369,6.14205,	8481639943293
0.251463,6.14931,	8481639968377
0.252551,6.15649,	8481639993460
0.254637,6.16382,	8481640085918
0.255715,6.17097,	8481640111585
0.257791,6.17836,	8481640136960
0.258859,6.18554,	8481640161752
0.260924,6.19298,	8481640187418
0.261982,6.20021,	8481640211918
0.264038,6.2077,	8481640237293
0.265085,6.21485,	8481640262377
0.26713,6.22228,	8481640287168
0.0683,0,	8481640311960
0.0683,0,	8481640337043
0.0683,0,	8481640361543
0.253233,6.2454,	8481640386335
0.267268,6.25681,	8481640410543
0.266282,6.26338,	8481640434168
0.264292,6.26981,	8481640457793
0.262298,6.27615,	8481640482002
0.2613,6.28282,	8481640505627
